id,original_title,cast,director,tagline,keywords,overview,genres,production_companies
33511,Nowhere Boy,Aaron Taylor-Johnson|Kristin Scott Thomas|David Morrissey|Anne-Marie Duff|Sam Bell,Sam Taylor-Johnson,As a boy all John Lennon needed was love.,musical|crying|dark past|kidnapping attempt|reference to tchaikovsky,The drama tells the story of Lennon's teenage years and the start of his journey to becoming a successful musician. The story also examines the impact on his early life and personality of the two dominant females in his childhood,Drama,Ecosse Films
19458,Princess Protection Program,Selena Gomez|Demi Lovato|Jamie Chung|Nicholas Braun|Kevin G. Schmidt,Allison Liddi-Brown,Royality meets reality.,secret identity|island|monarchy|high school|princess,"When Princess Rosalinda is about to become queen of her country of Costa Luna, the country is invaded by an evil dictator. She is put into the Princess Protection Program, a secret organization funded by royal families that looks after endangered princesses. Rosalinda is taken under the wing of Mason Verica, an agent in the PPP from rural Louisiana. While there, she meets his daughter,",Comedy|Drama|Family,Disney Channel
41479,The Joneses,David Duchovny|Demi Moore|Amber Heard|Benjamin Hollingsworth|Lauren Hutton,Derrick Borte,"They're not just living the American dream, they're selling it.",independent film|duringcreditsstinger,"A seemingly perfect family moves into a suburban neighborhood, but when it comes to the truth as to why they're living there, they don't exactly come clean with their neighbors.",Comedy|Drama,Echo Lake Productions|Premiere Picture
20407,Arlen Faber,Jeff Daniels|Lauren Graham|Lou Taylor Pucci|Kat Dennings|Olivia Thirlby,John Hindman,He wrote the book on life's big questions. But the truth is he hasn't got a clue.,chiropractor,"Twenty years ago, Arlen Faber (Jeff Daniels) wrote a book about spirituality that became wildly popular. These days, he's a curmudgeonly recluse who only enjoys the company of his chiropractor, Elizabeth (Lauren Graham). As Elizabeth's warmth starts to melt Arlen's cold heart, he comes to realize what love really means.",Comedy|Romance,Messick Films|iDeal Partners Film Fund|120dB Films
17927,Fired Up!,Nicholas D'Agosto|Eric Christian Olsen|Sarah Roemer|Molly Sims|Danneel Ackles,Will Gluck,2 Guys. 300 Girls. You Do the Math.,cheerleading|aftercreditsstinger|duringcreditsstinger,2 Guys. 300 Girls. You Do the Math. The two most popular guys in high school decide to ditch football camp for cheerleader camp. For the girls and for the glory.,Comedy|Romance,"Screen Gems|Moving Pictures, DPI"
40850,Cherrybomb,Rupert Grint|Robert Sheehan|Kimberley Nixon|James Nesbitt,Lisa Barros D'Sa|Glenn Leyburn,Two guys.One girl.Game on.,independent film|woman director,"Cherry Bomb follows teenagers Luke, Malachy, and Michelle as they embark on a wild weekend of drink, drugs, shop-lifting and stealing cars. But what starts out as a game turns deadly serious when the three discover that they can't get off the wild ride they've set in motion.",Drama|Romance|Thriller,Generator Entertainment
22717,Wanted,Salman Khan|Ayesha Takia|Mahesh Manjrekar|Prakash Raj|Vinod Khanna,Prabhu Deva,"Mafia wants him DEAD !, Police wants him ALIVE !!",gang war,"Radhe is a hardcore gangster. A sharpshooter with a sharp brain, he works for Gani Bhai, the dreaded Mafioso, but on his own terms. Totally fearless, Radhe single handedly eliminates Gani Bhai's enemies one by one; making more enemies than he bargained for.",Action|Comedy|Crime|Thriller,Sahara One Motion Pictures
20178,World's Greatest Dad,Robin Williams|Alexie Gilmore|Daryl Sabara|Geoff Pierson|Henry Simmons,Bobcat Goldthwait,Lance Clayton is about to get everything he deserves.,male nudity|poetry|adolescence|lie|nudity,"Robin Williams stars as Lance Clayton, a man who has learned to settle. He dreamed of being a rich and famous writer, but has only managed to make it as a high school poetry teacher. His only son Kyle (Daryl Sabara) is an insufferable jackass who wonâ€™t give his father the time of day. He is dating Claire (Alexie Gilmore), the schoolâ€™s adorable art teacher, but she doesnâ€™t want to get serious --",Comedy|Romance,Magnolia Pictures|Jerkschool Productions
17680,The Girlfriend Experience,Sasha Grey|Chris Santos|Peter Zizzo|Timothy J. Cox|Timothy Davis,Steven Soderbergh,See it with someone you ****,infidelity|economy|client|hooker|independent film,"Chelsea is an in-demand call girl whose $2,000 an hour price tag allows her to live in New York's lap of luxury. Besides her beauty and sexual skill, Chelsea offers her clients companionship and conversation, or, as she dubs it, ""the girlfriend experience."" With her successful business and a devoted, live-in boyfriend, Chelsea thinks she has it made... until a new client rocks her world.",Comedy|Drama,2929 Productions|Magnolia Pictures|Extension 765
27646,Night of the Demons,Edward Furlong|Shannon Elizabeth|Monica Keena|Diora Baird|Michael Copon,Adam Gierasch,Come on in ... It's going to be a HELL of a party!,halloween|halloween party|demon|faked death,"Angela (Shannon Elizabeth) is throwing a decadent Halloween party at New Orleans' infamous Broussard Mansion. But after the police break up the festivities, Maddie (Monica Keena) and a few friends stay behind. Trapped inside the locked mansion gates, the remaining guests uncover a horrifying secret and soon fall victim to seven vicious, blood-thirsty demons.",Horror,Seven Arts Pictures|Project 8 Films|Cold Fusion Media Group|Parallel Media|Voodoo Production Services
